indice_global,indice_estricto,título,director,año,duración,género,rating,metascore,recaudación(M)
1632,644.0,The Worst Person in the World,Joachim Trier,2021.0,128.0,Romance,7.8,90.0,0.0
1660,657.0,Thirteen Lives,Ron Howard,2022.0,147.0,Acción,7.8,66.0,0.0
1661,657.0,Thirteen Lives,Ron Howard,2022.0,147.0,Aventura,7.8,66.0,0.0
1662,657.0,Thirteen Lives,Ron Howard,2022.0,147.0,Biografía,7.8,66.0,0.0
1907,753.0,The Whale,Darren Aronofsky,2022.0,117.0,Drama,7.7,60.0,0.0
1908,754.0,Mission: Impossible - Fallout,Christopher McQuarrie,2018.0,147.0,Acción,7.7,86.0,220.16
1909,754.0,Mission: Impossible - Fallout,Christopher McQuarrie,2018.0,147.0,Aventura,7.7,86.0,220.16
1910,754.0,Mission: Impossible - Fallout,Christopher McQuarrie,2018.0,147.0,Thriller,7.7,86.0,220.16
1911,755.0,The Banshees of Inisherin,Martin McDonagh,2022.0,114.0,Comedia,7.7,87.0,0.0
1912,755.0,The Banshees of Inisherin,Martin McDonagh,2022.0,114.0,Drama,7.7,87.0,0.0
1916,757.0,Aftersun,Charlotte Wells,2022.0,102.0,Drama,7.7,95.0,0.0
2039,806.0,Toy Story 4,Josh Cooley,2019.0,100.0,Animación,7.7,84.0,434.04
2040,806.0,Toy Story 4,Josh Cooley,2019.0,100.0,Aventura,7.7,84.0,434.04
2041,806.0,Toy Story 4,Josh Cooley,2019.0,100.0,Comedia,7.7,84.0,434.04
2044,808.0,Another Round,Thomas Vinterberg,2020.0,117.0,Drama,7.7,79.0,0.0
2066,817.0,The Trial of the Chicago 7,Aaron Sorkin,2020.0,129.0,Drama,7.7,76.0,0.0
2067,817.0,The Trial of the Chicago 7,Aaron Sorkin,2020.0,129.0,Historia,7.7,76.0,0.0
2068,817.0,The Trial of the Chicago 7,Aaron Sorkin,2020.0,129.0,Thriller,7.7,76.0,0.0
2082,824.0,Sound of Metal,Darius Marder,2019.0,120.0,Drama,7.7,82.0,0.0
2083,824.0,Sound of Metal,Darius Marder,2019.0,120.0,Musica,7.7,82.0,0.0
2163,857.0,Roma,Alfonso CuarÃ³n,2018.0,135.0,Drama,7.7,96.0,0.0
2328,926.0,Avatar: The Way of Water,James Cameron,2022.0,192.0,Acción,7.6,67.0,659.68
2329,926.0,Avatar: The Way of Water,James Cameron,2022.0,192.0,Aventura,7.6,67.0,659.68
2330,926.0,Avatar: The Way of Water,James Cameron,2022.0,192.0,Fantasía,7.6,67.0,659.68
2334,928.0,Once Upon a Time in Hollywood,Quentin Tarantino,2019.0,161.0,Comedia,7.6,83.0,142.5
2335,928.0,Once Upon a Time in Hollywood,Quentin Tarantino,2019.0,161.0,Drama,7.6,83.0,142.5
2350,935.0,Deadpool 2,David Leitch,2018.0,119.0,Acción,7.6,66.0,324.59
2351,935.0,Deadpool 2,David Leitch,2018.0,119.0,Aventura,7.6,66.0,324.59
2352,935.0,Deadpool 2,David Leitch,2018.0,119.0,Comedia,7.6,66.0,324.59
2380,946.0,A Star Is Born,Bradley Cooper,2018.0,136.0,Drama,7.6,88.0,215.29
2381,946.0,A Star Is Born,Bradley Cooper,2018.0,136.0,Musica,7.6,88.0,215.29
2382,946.0,A Star Is Born,Bradley Cooper,2018.0,136.0,Romance,7.6,88.0,215.29
2429,963.0,The Mitchells vs the Machines,Michael Rianda,2021.0,114.0,Animación,7.6,81.0,0.0
2430,963.0,The Mitchells vs the Machines,Michael Rianda,2021.0,114.0,Aventura,7.6,81.0,0.0
2431,963.0,The Mitchells vs the Machines,Michael Rianda,2021.0,114.0,Comedia,7.6,81.0,0.0
2438,966.0,Searching,Aneesh Chaganty,2018.0,102.0,Drama,7.6,71.0,26.02
2439,966.0,Searching,Aneesh Chaganty,2018.0,102.0,Misterio,7.6,71.0,26.02
2440,966.0,Searching,Aneesh Chaganty,2018.0,102.0,Thriller,7.6,71.0,26.02
2468,976.0,Dark Waters,Todd Haynes,2019.0,126.0,Biografía,7.6,73.0,0.0
2469,976.0,Dark Waters,Todd Haynes,2019.0,126.0,Drama,7.6,73.0,0.0
2470,976.0,Dark Waters,Todd Haynes,2019.0,126.0,Historia,7.6,73.0,0.0
